;	coding: utf-8
5199	сінопсіс кампаніі
5200	пачаць місію
5201	патрэбна гульцоў
5202	Анлайн-кааператыўная кампанія
5203	наступная місія разблакавана
5204	паўтарыць гэтую місію
5205	лёгкая
5206	экстрэмальная
5207	стандартная складанасць
5208	сіла ворага
5209	інтэрфейс выбару юнітаў
5210	інтэрфейс выбару будынкаў
5211	інтэрфейс загадоў
5212	інтэрфейс уменняў
5213	інтэрфейс дапамогі і запытаў
5214	дыпламатычны інтэрфейс
5215	заплечык пусты
5216	схема гарячых клавіш
5217	пластовая схема клавіш
5218	класічная схема клавіш
5219	схема клавіш зменена, уступіць у сілу ў наступнай гульні
5220	камп'ютар пачатковец
5221	камп'ютар сярэдні
5222	камп'ютар прасунуты
5223	камп'ютар эксперт
5224	камп'ютар кашмар
5225	вынік
5226	здабыча
5227	выкарыстанне рэсурсаў
5228	выжыванне юнітаў
5229	абарона будынкаў
5230	бой
5231	знос
5232	агульны лік
5233	ацэнка
5234	ацэнка S, ідэальна
5235	ацэнка A, выдатна
5236	ацэнка B, добра
5237	ацэнка C, залік
5238	ацэнка D, здавальняюча
5239	ацэнка E, трэба палепшыць
5240	з
5241	плюс
5242	ачкоў
5243	пераможаны
5244	дасягненне разблакавана
5245	атрымана
5246	медалёў
5247	атрымана карта
5248	засталося зарадаў
5249	званне павышана да
5250	атрыманы ганаровы тытул
5251	ашчадная эфектыўнасць
5260	кааператыўны гулец
5261	свабодны слот
5262	ШІ-партнёр па кааператыве
5263	прызначыць ШІ-партнёра
5264	зрабіць слот свабодным
5265	тып кааператыўнага пакоя
5266	прыватны кааператыўны пакой
5267	публічны кааператыўны пакой
5280	змяніць раскладку клавіш
5281	глабальныя гарачыя клавішы
5282	бягучая гарачая клавіша
5283	націсніце новую клавішу
5284	Esc — адмена, Backspace — скінуць прывязку
5285	гарачая клавіша захавана, дзейнічае з наступнай гульні
5286	раскладка класічных гарачых клавіш з'явіцца ў пазнейшай версіі
5287	скінуць глабальныя гарачыя клавішы
5288	глабальныя гарачыя клавішы скінуты
5289	клавіша ўжо занята: 
5290	Enter — пацвердзіць замену, Esc — адмена
5291	не прызначана
5292	устаноўлена на
5293	Enter — перапрызначыць
5294	актыўна
5295	неактыўна
5296	гарачыя клавішы слоя скінуты
5297	скінуць гарачыя клавішы слоя
5298	інтэрфейс прагляду карты
5299	скінуць класічныя гарачыя клавішы
5300	ідэальны бой
5301	выдатнае камандаванне
5302	добры бой
5303	залік
5304	ашчадная перамога
5305	ідэальная захаванасць
5306	паляўнічы на кашмары
5307	забойца экспертаў
5308	першая перамога
5309	кантракт падмацаванняў
5310	дасягненні
5311	прагляд дасягненняў і арсенала гэтага мода
5312	заблакавана
